Name,Image URL,Best Time to Visit
 Panhala Fort,https://www.holidify.com/images/cmsuploads/compressed/attr_1125_20191224160810.jpg,9am to 12pm
 Dajipur Wildlife Sanctuary,https://www.holidify.com/images/cmsuploads/compressed/795254513_7530cc5564_b_20190116145809.jpg,6am to 12pm
 Shri Chatrapati Shahu Museum (New Palace),https://www.holidify.com/images/cmsuploads/compressed/798px-Kolhapur_New_Palace_20190704134939.jpg,10am to 12pm
 Gaganbawada,https://www.holidify.com/images/cmsuploads/compressed/6403866669_dca8de29da_b_20190116145847.jpg,9am to 12pm
 Ramtirth Waterfall,https://www.holidify.com/images/cmsuploads/compressed/3657021360_1a6856c71e_b(1)_20190415192254.jpg,10am to 12pm
 Sagareshwar Deer Sanctuary,https://www.holidify.com/images/cmsuploads/compressed/9107329262_dde2e4725d_b_20190415145230.jpg,7am to 9am
 Kopeshwar Temple,https://www.holidify.com/images/cmsuploads/compressed/Kopeshwar_Mandir_front_view_20190116145805.jpg,9am to 11am
 Shopping in Kolhapur,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_543001786_20200128130752_20200128130816.jpg,
 Narsinhwadi Datta Mandir,https://www.holidify.com/images/cmsuploads/compressed/12795535_1255926921088492_1303388373745523993_n_20190401095551_20190401095648.jpg,9am to 11am
 Vishalgad,https://www.holidify.com/images/cmsuploads/compressed/2066211088_b5c219872c_b_20190116145852.jpg,9am to 12pm
" Mahalaxmi Temple, Kolhapur",https://www.holidify.com/images/cmsuploads/compressed/800px-Mahalaxmi_Temple_Kolhapur_20200121170459.jpg,7am to 10am
 Binkhambi Ganesh Temple,https://www.holidify.com/images/compressed/6210.jpg,9am to 11am
 Gangagiri Maharaj Math Temple,https://www.holidify.com/images/cmsuploads/compressed/3862933200_947891400b_b_20190415155932.jpg,9am to 11am
 Rankala Lake,https://www.holidify.com/images/cmsuploads/compressed/rankala-slider-4_20171125220751.jpg,4pm to 6pm
 Jyotiba Temple,https://www.holidify.com/images/cmsuploads/compressed/Kolhapur-360053_1_20180112172814.jpg,8am to 10am
 Temlabai Mandir,https://www.holidify.com/images/cmsuploads/compressed/TemlaBaiMandir_20190712100844_20190712101135.jpg,9am to 11am
 Siddhagiri Museum,https://www.holidify.com/images/cmsuploads/compressed/siddhagiri-museum1_20190401095849_20190401095901.jpg,10am to 12pm
 Chinmaya Ganadhish,https://www.holidify.com/images/cmsuploads/compressed/27178086633_9dea1bb46d_b_20190208124447.jpg,9am to 11am
 DYP City Mall,https://www.holidify.com/images/cmsuploads/compressed/DYP_City_Mall%252C_Kolhapur_20190116145813.jpg,
 Sajja Kothi,https://www.holidify.com/images/cmsuploads/compressed/Inside_Of_Sajja_Kothi_20190116145818.jpg,9am to 11am
 Bhavani Mandap,https://www.holidify.com/images/cmsuploads/compressed/Kolhapur_Mahadwar_20190116145815.JPG,9am to 11am
 Binkhambi Ganesh Mandir,https://www.holidify.com/images/cmsuploads/compressed/binkhambi-ganesh-temple_20190415152342.jpg,9am to 11am
 Radhanagari Dam,https://www.holidify.com/images/cmsuploads/compressed/img-20170826-wa0035_20190415155806.jpg,9am to 11am
 Teen Darwaza,https://www.holidify.com/images/cmsuploads/compressed/2065381565_231a4f6eb3_b_20190116145826.jpg,9am to 11am
 Botanical Gardens in Kolhapur,https://www.holidify.com/images/cmsuploads/compressed/2065401279_84112db1cc_b_20190415191841.jpg,9am to 11am
 Khasbag Maidan,https://www.holidify.com/images/cmsuploads/compressed/Kolhapur-MAidan_20190712101623.jpg,
 Gadhinglaj,https://www.holidify.com/images/cmsuploads/compressed/Sant_Shri_Balumama_Temple_Gadhinglaj_20191202115551.jpg, 9am to 11am
 Bhudargarh,https://www.holidify.com/images/cmsuploads/compressed/trees-on-a-hill-under-grey-skies-and-corn-fields_20190415145816.jpg,9am to 11am
 Shalini Palace,https://www.holidify.com/images/cmsuploads/compressed/n-shalini-palace_20190408112139_20190408112205.jpg,10am to 12pm
 Irwin Agricultural Museum,https://www.holidify.com/images/todo-coming-soon.png,10am to 12pm
